ID,SEQUENCE,POS
2249,Very good .,RB JJ .
2250,"We will return to Democratic control under the first New York - born majority leader in American history _ a kid from Brooklyn , the son of an exterminator and a housewife , and a descendant of victims of the Holocaust .","PRP MD VB IN JJ NN IN DT JJ NNP NNP HYPH VBN NN NN IN JJ NN : DT NN IN NNP , DT NN IN DT NN CC DT NN , CC DT NN IN NNS IN DT NNP ."
2251,"So that brings us to the next product , which is my curl defining jelly .","UH DT VBZ PRP IN DT JJ NN , WDT VBZ PRP$ NN VBG NN ."
2252,Is he a righ- are you a righty ?,VBZ PRP DT NN VBP PRP DT NN .
2253,Pittsburgh Pirates ( 2012 ),NNP NNP -LRB- CD -RRB-
2254,Place tubs of used kitty litter around entrances of the house .,VB NNS IN VBN NN NN IN NNS IN DT NN .
2255,Um day six was when I noticed like the my sinuses were feeling weird .,UH NN CD VBD WRB PRP VBD UH DT PRP$ NNS VBD VBG JJ .
2256,"We held hearings , called witnesses , and subpoenaed documents .","PRP VBD NNS , VBD NNS , CC VBD NNS ."
2257,The first inhabitants of what would be named the Americas migrated across this bridge in search of food .,DT JJ NNS IN WP MD VB VBN DT NNPS VBD IN DT NN IN NN IN NN .
2258,Cosplay celebration of craftsmanship and characters,NN NN IN NN CC NNS
2259,"So I was , like , not backing down on that part .","RB PRP VBD , UH , RB VBG RP IN DT NN ."
2260,Warnings,NNS
2261,Oh great .,UH JJ .
2262,"In some languages the interjection , or an item similar to it , was also found in other sequential environments , for instance to mark surprise or to pursue a response .","IN DT NNS DT NN , CC DT NN JJ IN PRP , VBD RB VBN IN JJ JJ NNS , IN NN TO VB NN CC TO VB DT NN ."
2263,"Montalvo had known Devocht personally , and came to the conclusion that the claims made about him in the Freedom article were lies .","NNP VBD VBN NNP RB , CC VBD IN DT NN IN DT NNS VBN IN PRP IN DT NNP NN VBD NNS ."
2264,"At the dawn of history , India started on her unending quest , and trackless centuries are filled with her striving and grandeur of her success and failures .","IN DT NN IN NN , NNP VBD IN PRP$ JJ NN , CC JJ NNS VBP VBN IN PRP$ NN CC NN IN PRP$ NN CC NNS ."
2265,Get masking tape or packing tape and tape screws and other little things that came out of something back against it .,VB NN NN CC NN NN CC VB NNS CC JJ JJ NNS WDT VBD IN IN NN RB IN PRP .
2266,Nothing .,NN .
2267,If you buy too many boxes you can return the unused for a full refund .,IN PRP VBP RB JJ NNS PRP MD VB DT JJ IN DT JJ NN .
2268,My brother was a runner and they used to call him The Birdman -- Birdie -- and they called me The Poet .,PRP$ NN VBD DT NN CC PRP VBD TO VB PRP DT NNP : NNP : CC PRP VBD PRP DT NNP .
2269,"On the NATO conference , well I mean the obvious question is why should NATO exist ?","IN DT NNP NN , UH PRP VBP DT JJ NN VBZ WRB MD NNP VB ."
2270,Heald noted the findings show pollution reduction is also important .,NNP VBD DT NNS VBP NN NN VBZ RB JJ .
2271,Figure 2 .,NNP CD .
2272,Nathan Law of Demosisto,NNP NNP IN NNP
2273,I literally just pretty much woke up and left this morning .,PRP RB RB RB RB VBD RP CC VBD DT NN .
2274,All 15 people who were seated nearby the individual on their flight into New Zealand have been traced and are being told to self - isolate .,DT CD NNS WP VBD VBN IN DT JJ IN PRP$ NN IN NNP NNP VBP VBN VBN CC VBP VBG VBN TO NN HYPH VB .
2275,"The IQR for this data set is calculated as 9 minus 2 , or 7 .","DT NNP IN DT NNS NN VBZ VBN IN CD CC CD , CC CD ."
2276,Feel free to alter the game rules .,VB JJ TO VB DT NN NNS .
2277,"During one of these illnesses ( about the winter of 373 - 374 ) , he had a vision that led him to lay aside his secular studies and devote himself to God .","IN CD IN DT NNS -LRB- IN DT NN IN CD SYM CD -RRB- , PRP VBD DT NN WDT VBD PRP TO VB RP PRP$ JJ NNS CC VB PRP IN NNP ."
2278,There are several campsites that allow tourists to barbeque on the beach with beautiful mountain views in the background .,EX VBP JJ NNS WDT VBP NNS TO VB IN DT NN IN JJ NN NNS IN DT NN .
2279,"Um , the job was out at UCSB , I went and estimated the job for myself , to see if I could take the job , for what he wanted to pay for it , and I let him know that I could not .","UH , DT NN VBD RB IN NNP , PRP VBD CC VBD DT NN IN PRP , TO VB IN PRP MD VB DT NN , IN WP PRP VBD TO VB IN PRP , CC PRP VBD PRP VB IN PRP MD RB ."
2280,"And George Bush and James Baker , secretary of state , agreed that NATO would not expand one inch to the east .","CC NNP NNP CC NNP NNP , NN IN NN , VBD IN NNP MD RB VB CD NN IN DT NN ."
2281,His textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .,PRP$ NN NNP : DT NNP NNP IN NNPS VBD CD IN DT JJ NNS IN JJ NNP .
2282,And you have put the razor to the throat .,CC PRP VBP VBN DT NN IN DT NN .
2283,They are sick of the partisanship and nonsense and the total lack of substance in modern campaigns .,PRP VBP JJ IN DT NN CC NN CC DT JJ NN IN NN IN JJ NNS .
2284,Which one should we start with ?,WDT PRP MD PRP VB IN .
2285,The report states that few if any food manufacturers use iodised salt in the preparation and manufacture of foods .,DT NN VBZ IN JJ IN DT NN NNS VBP VBN NN IN DT NN CC NN IN NNS .
2286,Oh wow .,UH UH .
2287,"The good news in this instance is that the individual had limited contact with people upon their return to the country , and their family took all the appropriate measures when presenting at the emergency department .","DT JJ NN IN DT NN VBZ IN DT NN VBD JJ NN IN NNS IN PRP$ NN IN DT NN , CC PRP$ NN VBD PDT DT JJ NNS WRB VBG IN DT NN NN ."
2288,"The afternoon sessions will be devoted to the hands - on training of skills , following the Library Carpentry model as closely as possible .","DT NN NNS MD VB VBN IN DT NNS HYPH RB NN IN NNS , VBG DT NNP NNP NN RB RB IN JJ ."
2289,The New York City skyline and 4th of July fireworks are spectacular over the river .,DT NNP NNP NNP NN CC JJ IN NNP NNS VBP JJ IN DT NN .
2290,"I went back the next Tuesday night and there was almost no one there , just a few stray photographers taking advantage of the unimpeded views of the lanterns .","PRP VBD RB DT JJ NNP NN CC EX VBD RB DT NN RB , RB DT JJ JJ NNS VBG NN IN DT JJ NNS IN DT NNS ."
2291,"Wednesday , September 7 , 2016","NNP , NNP CD , CD"
2292,"Thanks a lot , you witch .","NNS DT NN , PRP NN ."
2293,Ooh .,UH .
2294,"X squared equals one over the square root of that , the square root of that , x equals the square root of one .","NN VBN VBZ CD IN DT JJ NN IN DT , DT JJ NN IN DT , NN VBZ DT JJ NN IN CD ."
2295,"He married Althea Lucille Sprague , who died in 1993 .","PRP VBD NNP NNP NNP , WP VBD IN CD ."
2296,He is indeed .,PRP VBZ RB .
2297,You know .,PRP VBP .
2298,Ed. : See the LibriVox catalog for a full index .,NN : VB DT NNP NN IN DT JJ NN .
2299,CONCLUSION,NN
2300,Ruse has also argued that an evolutionary account of morality suggests that there are no moral facts in the first place .,NNP VBZ RB VBN IN DT JJ NN IN NN VBZ IN EX VBP DT JJ NNS IN DT JJ NN .
2301,I changed my pillowcases once to twice a week .,PRP VBD PRP$ NNS RB IN RB DT NN .
2302,Years active 1947 _ 2012,NNS JJ CD SYM CD
2303,You can play water quidditch in a pool .,PRP MD VB NN NN IN DT NN .
2304,"Uh prevailing wages , that , um , that indicate different levels of agility , of the different men working .","UH VBG NNS , WDT , UH , WDT VBP JJ NNS IN NN , IN DT JJ NNS VBG ."
2305,"Idle industries have cast workers into unemployment , human misery , and personal indignity .","JJ NNS VBP VBN NNS IN NN , JJ NN , CC JJ NN ."
2306,In the second book I made another experiment .,IN DT JJ NN PRP VBD DT NN .
2307,Two years later he pointed out for the first time the frequent desirability of resolving a compound motion into motions of translation and motion of rotation .,CD NNS RBR PRP VBD RP IN DT JJ NN DT JJ NN IN VBG DT JJ NN IN NNS IN NN CC NN IN NN .
2308,She was the first ever YouTube star to be immortalized at Madame Tussauds New York and her figure is the first selfie - taking wax figure at this location . [ 19 ],PRP VBD DT JJ RB NNP NN TO VB VBN IN NNP NNP NNP NNP CC PRP$ NN VBZ DT JJ NN HYPH VBG NN NN IN DT NN . -LRB- CD -RRB-
2309,Try recording your joke on a tape player and playing it back to yourself .,VB VBG PRP$ NN IN DT NN NN CC VBG PRP RB IN PRP .
2310,I wished my da would come home .,PRP VBD PRP$ NN MD VB RB .
2311,"All must share in the productive work of this "" new beginning , "" and all must share in the bounty of a revived economy .","DT MD VB IN DT JJ NN IN DT `` JJ NN , '' CC DT MD VB IN DT NN IN DT VBN NN ."
2312,"Today , about 100,000 Greeks worship the ancient gods , such as Zeus , Hera , Poseidon , Aphrodite , and Athena .","NN , RB CD NNPS NN DT JJ NNS , JJ IN NNP , NNP , NNP , NNP , CC NNP ."
2313,Yeah .,UH .
2314,My favorite was the Signature Sauvignon Blanc from Spier .,PRP$ JJ VBD DT NNP NNP NNP IN NNP .
2315,"Wikinews reporters attended the opening and spoke to donors , exhibit organizers and patrons .","NNP NNS VBD DT NN CC VBD IN NNS , NN NNS CC NNS ."
2316,"And after the war , I had buried my children , all four , in white linen shrouds in the new graveyards plowed into what used to be our farmland : all the land stretching from the river delta to the hills .","CC IN DT NN , PRP VBD VBN PRP$ NNS , RB CD , IN JJ NN NNS IN DT JJ NNS VBN IN WP VBD TO VB PRP$ NN : PDT DT NN VBG IN DT NN NN IN DT NNS ."
2317,_ They __e a huge drain on emergency preparedness .,`` PRP VBP DT JJ NN IN NN NN .
2318,The station staff at Chiang Kai Shek Memorial Hall Station do an excellent job of crowd control but lines for the subway can still be hours long and very exhausting .,DT NN NN IN NNP NNP NNP NNP NNP NNP VBP DT JJ NN IN NN NN CC NNS IN DT NN MD RB VB NNS JJ CC RB JJ .
2319,"During the World War II , the family was split , and Moreau lived with her mother in Paris .","IN DT NNP NNP CD , DT NN VBD VBN , CC NNP VBD IN PRP$ NN IN NNP ."
2320,"Jespersen in this theory of ranks removes the parts of speech from the syntax , and differentiates between primaries , secondaries , and tertiaries ; e.g. in "" well honed phrase , "" "" phrase "" is a primary , this being defined by a secondary , "" honed "" , which again is defined by a tertiary "" well "" .","NNP IN DT NN IN NNS VBZ DT NNS IN NN IN DT NN , CC VBZ IN NNS , NNS , CC NNS : FW IN `` RB VBN NN , '' `` NN '' VBZ DT NN , DT VBG VBN IN DT NN , `` VBN '' , WDT RB VBZ VBN IN DT NN `` RB '' ."
2321,""" Oh shit , "" Pag panted .","`` UH UH , '' NNP VBD ."
2322,This is no reason to dislike her .,DT VBZ DT NN TO VB PRP .
2323,"St. Jerome in His Study ( 1480 ) , by Domenico Ghirlandaio","NNP NNP IN PRP$ NNP -LRB- CD -RRB- , IN NNP NNP"
2324,""" What happened ? Did your dog eat it ? "" he said , making a joke .","`` WP VBD . VBD PRP$ NN VB PRP . '' PRP VBD , VBG DT NN ."
2325,Protection B documents are the second lowest grade of classified government documents .,NNP NNP NNS VBP DT JJ JJS NN IN VBN NN NNS .
2326,Why ?,WRB .
2327,Wikinews interviews academic Simon Li_en about attitudes towards US Paralympics,NNP VBZ JJ NNP NNP IN NNS IN NNP NNP
2328,The doorbell rang .,DT NN VBD .
2329,Another thing was two different time scapes : one goes very slow and one goes very fast and they almost kind of meet in the end .,DT NN VBD CD JJ NN NNS : CD VBZ RB RB CC CD VBZ RB RB CC PRP RB NN IN VBP IN DT NN .
2330,Congress has proven itself ineffective as a body .,NNP VBZ VBN PRP JJ IN DT NN .
2331,"So I ended up having to order them , but she said there was no way to do a direct exchange .","RB PRP VBD RP VBG TO VB PRP , CC PRP VBD EX VBD DT NN TO VB DT JJ NN ."
2332,"No , no .","UH , UH ."
2333,1. Introduction,LS NN
2334,Putting America back to work means putting all Americans back to work .,VBG NNP RB IN NN VBZ VBG DT NNPS RB IN NN .
2335,"We all had our own interests _ drawing , electronics , collecting beer caps _ that each appeared obscure to anyone else .","PRP DT VBD PRP$ JJ NNS : VBG , NNS , VBG NN NNS : WDT RB VBD JJ IN NN RB ."
2336,""" My mom and dad , "" I said , suddenly quiet , "" saved my life .","`` PRP$ NN CC NN , '' PRP VBD , RB JJ , `` VBD PRP$ NN ."
2337,"Oh yeah , uh huh .","UH UH , UH UH ."
2338,2014,CD
2339,"This is the 37th time I have spoken to you from this office , where so many decisions have been made that shaped the history of this Nation .","DT VBZ DT JJ NN PRP VBP VBN IN PRP IN DT NN , WRB RB JJ NNS VBP VBN VBN WDT VBD DT NN IN DT NN ."
2340,"You can also go to Porte d'Enfer , a beautiful still stripe of sea between a scenery of reefs .","PRP MD RB VB IN NNP NNP , DT JJ JJ NN IN NN IN DT NN IN NNS ."
2341,"Tenured and tenure - track university faculty play a special role in determining the speed and direction of scientific progress , both directly through their research and indirectly through their training of new researchers .","JJ CC NN HYPH NN NN NN VB DT JJ NN IN VBG DT NN CC NN IN JJ NN , CC RB IN PRP$ NN CC RB IN PRP$ NN IN JJ NNS ."
2342,Figure 24.7,NNP CD
2343,"Some scholars believe that between nine and fifteen thousand years ago , a land bridge existed between Asia and North America that we now call Beringia .","DT NNS VBP IN IN CD CC CD CD NNS RB , DT NN NN VBD IN NNP CC NNP NNP WDT PRP RB VBP NNP ."
2344,"After graduating he attended Camp Wycliffe , where Bible translation theory was taught .","IN VBG PRP VBD NNP NNP , WRB NNP NN NN VBD VBN ."
2345,The database was unveiled in 1999 as the National Enforcement Management Information System and Intelligence System .,DT NN VBD VBN IN CD IN DT NNP NNP NNP NNP NNP CC NNP NNP .
2346,Numbered streets run East / West with Main Street and the Arkansas River as the dividing line .,JJ NNS VBP RB SYM RB IN NNP NNP CC DT NNP NNP IN DT VBG NN .
2347,"It has to do with , just generally , chewing up , you know , consumerism basically and _ .","PRP VBZ TO VB IN , RB RB , VBG RP , PRP VBP , NN RB CC : ."
2348,"Okay , the next case will be uh , Mitchell Roberts , versus , uh , Matthew Collins , ABC Builders Interiors ?","UH , DT JJ NN MD VB UH , NNP NNP , IN , UH , NNP NNP , NNP NNPS NNPS ."
2349,"You 're not the same . """,PRP VBP RB DT JJ . ''
2350,"Whatever the reason , if people specialize in the production of what they do best , they will be more effective than if they produce a combination of things , some of which they are good at and some of which they are not good at .","WP DT NN , IN NNS VBP IN DT NN IN WP PRP VBP RBS , PRP MD VB RBR JJ IN IN PRP VBP DT NN IN NNS , DT IN WDT PRP VBP JJ IN CC DT IN WDT PRP VBP RB JJ IN ."
2351,Gordon assumed the additional Christian name of Leopold when confirmed as a Roman Catholic shortly before his death .,NNP VBD DT JJ JJ NN IN NNP WRB VBN IN DT JJ NNP RB IN PRP$ NN .
2352,Extract 2 Siwu ( Ghana ) [ Maize1_1017013 ],NNP CD NNP -LRB- NNP -RRB- -LRB- SYM -RRB-
2353,The division and specialization of labor has been a force against the problem of scarcity .,DT NN CC NN IN NN VBZ VBN DT NN IN DT NN IN NN .
2354,"Hutcheson thinks that beauty lies in both the object and the subject , and artistic beauty comes from the quality of _ uniformity amidst variety _ in the object and the involvement of an _ internal sense _ in the subject . [ 39 ]","NNP VBZ IN NN VBZ IN CC DT NN CC DT NN , CC JJ NN VBZ IN DT NN IN `` NN IN NN '' IN DT NN CC DT NN IN DT `` JJ NN '' IN DT NN . -LRB- CD -RRB-"
2355,Mérida is the capital of the state of Yucatán in Mexico .,NNP VBZ DT NN IN DT NN IN NNP IN NNP .
2356,Those protests were global .,DT NNS VBD JJ .
2357,Experimental manipulations of femoral orientation in chickens suggest that torsional loads increase as the femur becomes more horizontal [ 7 ] supporting the idea that postural differences could be reflected in differences in limb cross-sectional geometry .,JJ NNS IN JJ NN IN NNS VBP IN JJ NNS VBP IN DT NN VBZ RBR NN -LRB- CD -RRB- VBG DT NN IN JJ NNS MD VB VBN IN NNS IN NN JJ NN .
2358,"Although drifters and buoys , together with cruises , have accumulated large amount in - situ water salinity data in different regions , it is still difficult to monitor global ocean salinity with high temporal - spatial resolution by the in situ measurements .","IN NNS CC NNS , RB IN NNS , VBP VBN JJ NN FW HYPH FW NN NN NNS IN JJ NNS , PRP VBZ RB JJ TO VB JJ NN NN IN JJ JJ HYPH JJ NN IN DT FW FW NNS ."
2359,You 're right .,PRP VBP JJ .
2360,It might be a statistical blip .,PRP MD VB DT JJ NN .
2361,that the citizen has not that protection of person and property which he is entitled .,IN DT NN VBZ RB DT NN IN NN CC NN WDT PRP VBZ VBN .
2362,"And although there is a great deal of vehicle traffic to and from the George Washington Bridge , which connects Fort Lee with Manhattan , one of the largest perks of this town is the walking access to many restaurants , convenience stores and mass transit , in the form of buses and vans that frequently run across the bridge and up and down major streets .","CC IN EX VBZ DT JJ NN IN NN NN IN CC IN DT NNP NNP NNP , WDT VBZ NNP NNP IN NNP , CD IN DT JJS NNS IN DT NN VBZ DT VBG NN IN JJ NNS , NN NNS CC JJ NN , IN DT NN IN NNS CC NNS WDT RB VBP IN DT NN CC RB CC RB JJ NNS ."
2363,"Well , what is the problem ?","UH , WP VBZ DT NN ."
2364,"The minute the land was replaced by science , what is there to fight about ?","DT NN DT NN VBD VBN IN NN , WP VBZ EX TO VB RB ."
2365,History is becoming more and more irrelevant .,NN VBZ VBG RBR CC RBR JJ .
2366,"A ceramic bowl will work best , but plastic works too .","DT JJ NN MD VB RBS , CC JJ VBP RB ."
2367,"It attempts to explain how and why we think the way we do by studying the interactions among human thinking , emotion , creativity , language , and problem solving , in addition to other cognitive processes .","PRP VBZ TO VB WRB CC WRB PRP VBP DT NN PRP VBP IN VBG DT NNS IN JJ NN , NN , NN , NN , CC NN NN , IN NN IN JJ JJ NNS ."
2368,"Allow me at this point to congratulate Mr. Soren Jessen - Petersen , Special Representative for Kosovo of the United Nations Secretary - General , in assuming this very important duty .","VB PRP IN DT NN TO VB NNP NNP NNP HYPH NNP , NNP NNP IN NNP IN DT NNP NNPS NNP HYPH NNP , IN VBG DT RB JJ NN ."
2369,But I went to bed with my hair wet .,CC PRP VBD IN NN IN PRP$ NN JJ .
2370,I loaded ferry boats in Jersey City across the river to deliver goods to Ground Zero .,PRP VBD NN NNS IN NNP NNP IN DT NN TO VB NNS IN NNP NNP .
2371,"First , the literature shows a debate about which specific syntactic units can be considered to trigger enjambment , if split across two lines , and whether lexical and syntactic criteria are sufficient to identify enjambment .","RB , DT NN VBZ DT NN IN WDT JJ JJ NNS MD VB VBN TO VB NN , IN JJ IN CD NNS , CC IN JJ CC JJ NNS VBP JJ TO VB NN ."
2372,Yay dinner !,UH NN .
2373,"From one - liners to classic three - liners to the one - minute gag you tell your friends , a good joke pleases everyone .","IN CD HYPH NNS IN JJ CD HYPH NNS IN DT CD HYPH NN NN PRP VBP PRP$ NNS , DT JJ NN VBZ NN ."
2374,Mmm .,UH .
2375,"They show the uh _ , some are l- lent , and some are _ are gifts .","PRP VBP DT UH : , DT VBP UH VBN , CC DT VBP : VBP NNS ."
2376,"Many of the witnesses and documents , of course , were withheld by the White House .","JJ IN DT NNS CC NNS , IN NN , VBD VBN IN DT NNP NNP ."
2377,"Have you had interaction with "" new readers ' through your Mets work ?",VBP PRP VBN NN IN `` JJ NNS '' IN PRP$ NNPS NN .
2378,"Fill flats or individual seed containers with a mixture of equal parts perlite , vermiculite , and peat .","VB NNS CC JJ NN NNS IN DT NN IN JJ NNS NN , NN , CC NN ."
2379,"In the evening it buzzes with art galleries , theaters and residents and Bay Area visitors coming into the area to see concerts .","IN DT NN PRP VBZ IN NN NNS , NNS CC NNS CC NNP NNP NNS VBG IN DT NN TO VB NNS ."
2380,Meydan Kohne .,NNP NNP .
2381,"One of the silk screens exhibited at USI this time was the Annie Oakley screen print called "" Cowboys and Indians "" from 1987 .",CD IN DT NN NNS VBN IN NNP DT NN VBD DT NNP NNP NN NN VBN `` NNPS CC NNPS '' IN CD .
2382,_ S_ not my fault .,`` VBZ RB PRP$ NN .
2383,Did you _ did you put it in a trash bag ?,VBD PRP : VBD PRP VB PRP IN DT NN NN .
2384,"Because a race variable is not available from the Wave 4 interviews , we use the racial category reported by the respondent during the Wave 1 interview .","IN DT NN NN VBZ RB JJ IN DT NNP CD NNS , PRP VBP DT JJ NN VBN IN DT NN IN DT NNP CD NN ."
2385,A runway that provides fairly regular airline transportation was only constructed in 1999 .,DT NN WDT VBZ RB JJ NN NN VBD RB VBN IN CD .
2386,Okay .,UH .
2387,Liquid .,NN .
2388,How can we understand the distortion of spacetime by the presence of some ( significant ) amount of mass ?,WRB MD PRP VB DT NN IN NN IN DT NN IN DT -LRB- JJ -RRB- NN IN NN .
2389,"Spanish is a language often used for day - to - day discourse in many places , although English is the language of preference , especially when dealing with businesses and government .","NNP VBZ DT NN RB VBN IN NN HYPH IN HYPH NN NN IN JJ NNS , IN NNP VBZ DT NN IN NN , RB WRB VBG IN NNS CC NN ."
2390,Hm .,UH .
2391,It is the largest town on the island and has the largest share of accommodations .,PRP VBZ DT JJS NN IN DT NN CC VBZ DT JJS NN IN NNS .
2392,How is the Santorum drink made ?,WRB VBZ DT NNP NN VBN .
2393,Oh my gosh !,UH PRP$ UH .
2394,But it tastes so good with lemon in it .,CC PRP VBZ RB JJ IN NN IN PRP .
2395,"He also wrote his most appreciated piece of chamber music , the American String Quartet , during this time .","PRP RB VBD PRP$ RBS VBN NN IN NN NN , DT NNP NNP NNP , IN DT NN ."
2396,"Just download it on GitHub and then , we devise something together in a way that has free access to science and technology .","RB VB PRP IN NNP CC RB , PRP VBP NN RB IN DT NN WDT VBZ JJ NN IN NN CC NN ."
2397,"Cara has chocolate smeared on her mouth , but she lets me wipe her face off .","NNP VBZ NN VBN IN PRP$ NN , CC PRP VBZ PRP VB PRP$ NN RP ."
2398,Figure 1.4,NNP CD
2399,The family was connected with the noble branch of Haddo .,DT NN VBD VBN IN DT JJ NN IN NNP .
2400,Mexico had no intention of losing its northern province .,NNP VBD DT NN IN VBG PRP$ JJ NN .
2401,Group G _ Tunisia 1 _ 2 England,NNP NNP : NNP CD SYM CD NNP
2402,"In the Kowloon East geographical constituency , pro-Beijing district councillor Wilson Or was elected with 51,516 votes , the highest in this constituency .","IN DT NNP NNP JJ NN , JJ NN NN NNP NNP VBD VBN IN CD NNS , DT JJS IN DT NN ."
2403,"Repeat the above two steps for all bottles , ensuring that everything is cleaned between uses to prevent color contamination .","VB DT JJ CD NNS IN DT NNS , VBG IN NN VBZ VBN IN NNS TO VB NN NN ."
2404,Lighting plays a large part on the consumption of household electrical energy ; it consumes about 18 % of the total generated electricity of total energy consumption in residential sectors as shown in figure 2 [ 2 ] .,NN VBZ DT JJ NN IN DT NN IN NN JJ NN : PRP VBZ RB CD NN IN DT JJ VBN NN IN JJ NN NN IN JJ NNS IN VBN IN NNP CD -LRB- CD -RRB- .
2405,"The Deseret News observed that the hashtag on Twitter , #IStandWithAhmed , had become an international phenomenon .","DT NNP NNP VBD IN DT NN IN NNP , NNP , VBD VBN DT JJ NN ."
2406,Jerome translated parts of this Hebrew Gospel into Greek . [ 20 ],NNP VBD NNS IN DT NNP NNP IN NNP . -LRB- CD -RRB-
2407,"For example , while all cultures have language , analysis of particular language structures and conversational etiquette reveal tremendous differences .","IN NN , IN DT NNS VBP NN , NN IN JJ NN NNS CC JJ NN VBP JJ NNS ."
2408,Remember you should know how to write it .,VB PRP MD VB WRB TO VB PRP .
2409,Over 900 asylum seekers rescued off Indonesian coast,RB CD NN NNS VBN IN JJ NN
2410,"She smelled like honey that has been kept a while in a dark room , a little fermented .","PRP VBD IN NN WDT VBZ VBN VBN DT NN IN DT JJ NN , DT JJ VBN ."
2411,Got some cheese !,VBD DT NN .
2412,She stayed while I lit the fire .,PRP VBD IN PRP VBD DT NN .
2413,These three things .,DT CD NNS .
2414,"This map shows the location of the Ross Ice Shelf in the Antarctic , and the two known localities for E. andrillae relative to McMurdo Station","DT NN VBZ DT NN IN DT NNP NNP NNP IN DT JJ , CC DT CD VBN NNS IN FW FW RB IN NNP NNP"
2415,While they 're out there .,IN PRP VBP RB RB .
2416,There are seventy beginning of stories without ends .,EX VBP CD NN IN NNS IN NNS .
2417,Oh yeah,UH UH
2418,What ?,WP .
2419,That topples over .,DT VBZ RP .
2420,Voters would then choose between the new flag and their current flag early in 2016 .,NNS MD RB VB IN DT JJ NN CC PRP$ JJ NN RB IN CD .
2421,"I said , _ Only if you think it is worthy of your brother . _","PRP VBD , `` RB IN PRP VBP PRP VBZ JJ IN PRP$ NN . ''"
2422,"If you guys are wondering , the smell of this product is very natural .","IN PRP NNS VBP VBG , DT NN IN DT NN VBZ RB JJ ."
2423,1/2 cup ( 120 ml ) vegetable oil,CD NN -LRB- CD NNS -RRB- NN NN
2424,"As a student in Rome , Jerome engaged in the superficial escapades and sexual experimentation of students there , which he indulged in quite casually but for which he suffered terrible bouts of guilt afterwards . [ 13 ] [ better source needed ]","IN DT NN IN NNP , NNP VBD IN DT JJ NNS CC JJ NN IN NNS RB , WDT PRP VBD IN RB RB CC IN WDT PRP VBD JJ NNS IN NN RB . -LRB- CD -RRB- -LRB- JJR NN VBN -RRB-"
2425,Gives her headaches .,VBZ PRP NNS .
2426,"Chao possessed a natural gift for hearing fine distinctions in pronunciation that was said to be "" legendary for its acuity "" , enabling him to record the sounds of various dialects with a high degree of accuracy .","NNP VBD DT JJ NN IN VBG JJ NNS IN NN WDT VBD VBN TO VB `` JJ IN PRP$ NN '' , VBG PRP TO VB DT NNS IN JJ NNS IN DT JJ NN IN NN ."
2427,Greek court has ruled that worshippers of the ancient Greek religion may now formally associate and worship at archeological sites .,JJ NN VBZ VBN IN NNS IN DT JJ JJ NN MD RB RB VB CC VB IN JJ NNS .
2428,Okay .,UH .
2429,Wow .,UH .
2430,Tell me please .,VB PRP UH .
2431,"At first glance , for a city of 760,000 and agglomeration of 1.428,000 , there does not seem to be much to see .","IN JJ NN , IN DT NN IN CD CC NN IN CD , EX VBZ RB VB TO VB JJ TO VB ."
2432,"However , a larger - scale study to identify enjambment across hundreds of authors spanning several centuries , enabling distant reading ( Moretti , 2013 ) , was not previously available .","RB , DT JJR HYPH NN NN TO VB NN IN NNS IN NNS VBG JJ NNS , VBG JJ NN -LRB- NNP , CD -RRB- , VBD RB RB JJ ."
2433,It is best to play it safe with wats and other sacred sites in Thailand ;,PRP VBZ JJS TO VB PRP JJ IN NNS CC JJ JJ NNS IN NNP :
2434,Things have grown steadily since .,NNS VBP VBN RB IN .
2435,This is what Erasmus asked .,DT VBZ WP NNP VBD .
2436,This article outlines how to plant and harvest basil .,DT NN VBZ WRB TO VB CC VB NN .
2437,Many .,JJ .
2438,Expired .,JJ .
2439,7 _lī Q_pū ( The Royal Palace ) .,LS NNP NNP -LRB- DT NNP NNP -RRB- .
2440,Jeez .,UH .
2441,I mentioned it in the last vlog .,PRP VBD PRP IN DT JJ NN .
2442,"In addition to continuing to write , he convened and chaired the first International Meeting on Linguistic Research in Geneva in 1930 , and acted as president of the Fourth International Congress of Linguists in Copenhagen in 1936 .","IN NN IN VBG TO VB , PRP VBD CC VBD DT JJ NNP NNP IN NNP NNP IN NNP IN CD , CC VBD IN NN IN DT NNP NNP NNP IN NNPS IN NNP IN CD ."
2443,"Uh I was called by Matthew here , to do the job for him .","UH PRP VBD VBN IN NNP RB , TO VB DT NN IN PRP ."
2444,The institutional structure of a state and its constitution are responsible for restricting predatory action _ even by the state itself _ and for creating rules that benefit the community [ 18 ] .,DT JJ NN IN DT NN CC PRP$ NN VBP JJ IN VBG JJ NN : RB IN DT NN PRP : CC IN VBG NNS WDT VBP DT NN -LRB- CD -RRB- .
2445,"And I was thinking , hm , this is interesting .","CC PRP VBD VBG , UH , DT VBZ JJ ."
2446,Yeah .,UH .
2447,Career development and later life,NN NN CC JJR NN
2448,Betty never knew how naughty she should feel about wanting to strangle him sometimes .,NNP RB VBD WRB JJ PRP MD VB IN VBG TO VB PRP RB .
2449,"Yes , yes , sooner .","UH , UH , RBR ."
2450,"Full interview with Kristin Wilkins , curator of the exhibition at the University of Southern Indiana .","JJ NN IN NNP NNP , NN IN DT NN IN DT NNP IN NNP NNP ."
2451,Fired us up for the actual Paralympics .,VBD PRP RP IN DT JJ NNPS .
