,SEQUENCE,POS,NLTK,CORENLP,SPACY,FLAIR,OPENNLP,STANZA
2586,His cheek was turning blue and yellow .,PRP$ NN VBD VBG JJ CC JJ .,PRP$ NN VBD VBG NN CC NN .,PRP$ NN VBD VBG JJ CC JJ .,PRP$ NN VBD VBG JJ CC JJ .,PRP$ NN VBD VBG JJ CC JJ .,PRP$ NN VBD VBG JJ CC JJ .,PRP$ NN VBD VBG JJ CC JJ .
2587,I am 61 now so I really started when I was about 10 years old even though I had seen and worked with some basic tricks a few years earlier .,PRP VBP CD RB IN PRP RB VBD WRB PRP VBD RB CD NNS JJ RB IN PRP VBD VBN CC VBN IN DT JJ NNS DT JJ NNS RBR .,PRP VBP CD RB RB PRP RB VBD WRB PRP VBD IN CD NNS JJ RB IN PRP VBD VBN CC VBN IN DT JJ NNS DT JJ NNS RB .,PRP VBP CD RB RB PRP RB VBD WRB PRP VBD RB CD NNS JJ RB IN PRP VBD VBN CC VBN IN DT JJ NNS DT JJ NNS RBR .,PRP VBP CD RB RB PRP RB VBD WRB PRP VBD RB CD NNS JJ RB IN PRP VBD VBN CC VBD IN DT JJ NNS DT JJ NNS RBR .,PRP VBP CD RB RB PRP RB VBD WRB PRP VBD RB CD NNS JJ RB IN PRP VBD VBN CC VBN IN DT JJ NNS DT JJ NNS RBR .,PRP VBP CD RB IN PRP RB VBD WRB PRP VBD IN CD NNS JJ RB IN PRP VBD VBN CC VBN IN DT JJ NNS DT JJ NNS RB .,PRP VBP CD RB RB PRP RB VBD WRB PRP VBD RB CD NNS JJ RB IN PRP VBD VBN CC VBN IN DT JJ NNS DT JJ NNS RBR .
2588,Almost everybody has watched a trial either in person or on television .,RB NN VBZ VBN DT NN CC IN NN CC IN NN .,NNP NN VBZ VBN DT NN NN IN NN CC IN NN .,RB NN VBZ VBN DT NN CC IN NN CC IN NN .,RB NN VBZ VBN DT NN CC IN NN CC IN NN .,RB NN VBZ VBN DT NN CC IN NN CC IN NN .,RB NN VBZ VBN DT NN CC IN NN CC IN NN .,RB NN VBZ VBN DT NN CC IN NN CC IN NN .
2589,Oh .,UH .,UH .,UH .,UH .,UH .,UH .,UH .
2590,Uh dwibbling .,UH VBG .,NNP NN .,UH NN .,UH VBG .,UH VBG .,IN VBG .,UH NN .
2591,Combine 50 milliliters of hydrogen peroxide and a liter of distilled water in a mixing bowl .,VB CD NNS IN NN NN CC DT NN IN VBN NN IN DT NN NN .,NNP CD NNS IN NN NN CC DT NN IN JJ NN IN DT NN NN .,VB CD NNS IN NN NN CC DT NN IN JJ NN IN DT VBG NN .,VB CD NNS IN NN NN CC DT NN IN VBN NN IN DT VBG NN .,VB CD NNS IN NN NN CC DT NN IN VBN NN IN DT NN NN .,NNP CD NNS IN NN NN CC DT NN IN JJ NN IN DT NN NN .,VB CD NNS IN NN NN CC DT NN IN VBN NN IN DT NN NN .
2592,"But what is the problem , exactly , with having beliefs that are only coincidentally true ?","CC WP VBZ DT NN , RB , IN VBG NNS WDT VBP RB RB JJ .","CC WP VBZ DT NN , RB , IN VBG NNS WDT VBP RB RB JJ .","CC WP VBZ DT NN , RB , IN VBG NNS WDT VBP RB RB JJ .","CC WP VBZ DT NN , RB , IN VBG NNS WDT VBP RB RB JJ .","CC WP VBZ DT NN , RB , IN VBG NNS WDT VBP RB RB JJ .","CC WP VBZ DT NN , RB , IN VBG NNS WDT VBP RB RB JJ .","CC WP VBZ DT NN , RB , IN VBG NNS WDT VBP RB RB JJ ."
2593,Look at our basil plants .,VB IN PRP$ NN NNS .,NN IN PRP$ NN NNS .,VB IN PRP$ NN NNS .,VB IN PRP$ NN NNS .,VB IN PRP$ JJ NNS .,VB IN PRP$ NN NNS .,VB IN PRP$ NN NNS .
2594,"We start from the widely agreed premise that testing the reproducibility of findings should have an essential role in the testing and refinement of theory , at least for hypothesis - testing epistemologies that seek to ascertain generalizability and for other epistemologies in which constructs are deemed to be definable and observable .","PRP VBP IN DT RB VBN NN IN VBG DT NN IN NNS MD VB DT JJ NN IN DT NN CC NN IN NN , IN JJS IN NN HYPH NN NNS WDT VBP TO VB NN CC IN JJ NNS IN WDT NNS VBP VBN TO VB JJ CC JJ .","PRP VBP IN DT RB VBN NN WDT VBG DT NN IN NNS MD VB DT JJ NN IN DT NN CC NN IN NN , IN JJS IN NN : VBG NNS WDT VBP TO VB NN CC IN JJ NNS IN WDT NNS VBP VBN TO VB JJ CC JJ .","PRP VBP IN DT RB VBN NN WDT VBG DT NN IN NNS MD VB DT JJ NN IN DT NN CC NN IN NN , IN RBS IN NN HYPH NN NNS WDT VBP TO VB NN CC IN JJ NNS IN WDT NNS VBP VBN TO VB JJ CC JJ .","PRP VBP IN DT RB VBN NN IN VBG DT NN IN NNS MD VB DT JJ NN IN DT NN CC NN IN NN , IN JJS IN NN HYPH NN NNS WDT VBP TO VB NN CC IN JJ NNS IN WDT NNS VBP VBN TO VB JJ CC JJ .","PRP VBP IN DT RB VBN NN IN VBG DT NN IN NNS MD VB DT JJ NN IN DT NN CC NN IN NN , IN JJS IN NN HYPH VBG NNS WDT VBP TO VB NN CC IN JJ NNS IN WDT NNS VBP VBN TO VB JJ CC JJ .","PRP VBP IN DT RB VBN NN IN VBG DT NN IN NNS MD VB DT JJ NN IN DT NN CC NN IN NN , IN JJS IN NN : NN NNS WDT VBP TO VB NN CC IN JJ NNS IN WDT NNS VBP VBN TO VB JJ CC JJ .","PRP VBP IN DT RB VBN NN IN VBG DT NN IN NNS MD VB DT JJ NN IN DT NN CC NN IN NN , IN JJS IN NN HYPH NN NNS WDT VBP TO VB NN CC IN JJ NNS IN WDT NNS VBP VBN TO VB JJ CC JJ ."
2595,"In this paper , we report upon the novel insights eye - tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks .","IN DT NN , PRP VBP IN DT JJ NNS NN HYPH NN NNS VBP VBN IN DT JJ NNS IN VBG DT JJ NN IN NNP NNS .","IN DT NN , PRP VBP IN DT JJ NNS NN : VBG NNS VBP VBN IN DT JJ NNS IN VBG DT JJ NN IN NNP NNS .","IN DT NN , PRP VBP IN DT JJ NNS NN HYPH NN NNS VBP VBN IN DT JJ NNS IN VBG DT JJ NN IN NNP NNS .","IN DT NN , PRP VBP IN DT JJ NNS NN HYPH NN NNS VBP VBN IN DT JJ NNS IN VBG DT JJ NN IN NNP NNS .","IN DT NN , PRP VBP IN DT JJ NNS NN HYPH NN NNS VBP VBN IN DT JJ NNS IN VBG DT JJ NN IN NNP NNS .","IN DT NN , PRP VBP IN DT JJ NNS NN : NN NNS VBP VBN IN DT JJ NNS IN VBG DT JJ NN IN NNP NNS .","IN DT NN , PRP VBP IN DT JJ NNS NN HYPH NN NNS VBP VBN IN DT JJ NNS IN VBG DT JJ NN IN NNP NNS ."
2596,The products consist of four green spheres and two purple spheres .,DT NNS VBP IN CD JJ NNS CC CD JJ NNS .,DT NNS NN IN CD JJ NNS CC CD JJ NNS .,DT NNS VBP IN CD JJ NNS CC CD JJ NNS .,DT NNS VBP IN CD JJ NNS CC CD JJ NNS .,DT NNS VBP IN CD JJ NNS CC CD JJ NNS .,DT NNS VBP IN CD JJ NNS CC CD JJ NNS .,DT NNS VBP IN CD JJ NNS CC CD JJ NNS .
2597,"But shortfalls in payment of his salary , along with increasing recognition in Europe and an onset of homesickness , led him to leave the United States and return to Bohemia in 1895 .","CC NNS IN NN IN PRP$ NN , RB IN VBG NN IN NNP CC DT NN IN NN , VBD PRP TO VB DT NNP NNPS CC VB IN NNP IN CD .","CC NNS IN NN IN PRP$ NN , IN IN VBG NN IN NNP CC DT NN IN NN , VBD PRP TO VB DT NNP NNPS CC VB TO NNP IN CD .","CC NNS IN NN IN PRP$ NN , IN IN VBG NN IN NNP CC DT NN IN NN , VBD PRP TO VB DT NNP NNP CC VB IN NNP IN CD .","CC NNS IN NN IN PRP$ NN , IN IN VBG NN IN NNP CC DT NN IN NN , VBD PRP TO VB DT NNP NNP CC VB IN NNP IN CD .","CC NNS IN NN IN PRP$ NN , IN IN VBG NN IN NNP CC DT NN IN NN , VBD PRP TO VB DT NNP NNP CC VB IN NNP IN CD .","CC NNS IN NN IN PRP$ NN , IN IN VBG NN IN NNP CC DT NN IN NN , VBD PRP TO VB DT NNP NNPS CC VB TO NNP IN CD .","CC NNS IN NN IN PRP$ NN , IN IN VBG NN IN NNP CC DT NN IN NN , VBD PRP TO VB DT NNP NNPS CC VB IN NNP IN CD ."
2598,It was _,PRP VBD :,PRP VBD JJ,PRP VBD -RRB-,PRP VBD .,PRP VBD DT,PRP VBD VBN,PRP VBD :
2599,"He could have shown much greater leadership in pushing for tax reform , regulatory reform , and school choice .","PRP MD VB VBN RB JJR NN IN VBG IN NN NN , JJ NN , CC NN NN .","PRP MD VB VBN RB JJR NN IN VBG IN NN NN , JJ NN , CC NN NN .","PRP MD VB VBN RB JJR NN IN VBG IN NN NN , JJ NN , CC NN NN .","PRP MD VB VBN RB JJR NN IN VBG IN NN NN , JJ NN , CC NN NN .","PRP MD VB VBN RB JJR NN IN VBG IN NN NN , JJ NN , CC NN NN .","PRP MD VB VBN JJ JJR NN IN VBG IN NN NN , JJ NN , CC NN NN .","PRP MD VB VBN RB JJR NN IN VBG IN NN NN , JJ NN , CC NN NN ."
2600,"Um , no .","UH , UH .","NNP , DT .","UH , UH .","UH , UH .","UH , UH .","UH , UH .","UH , UH ."
2601,Stay hydrated and exercise wisely .,VB VBN CC VB RB .,NNP VBD CC NN RB .,VB JJ CC NN RB .,VB JJ CC VB RB .,VB JJ CC VB RB .,VB JJ CC NN RB .,VB JJ CC VB RB .
2602,"To accomplish this , _ódź has been capitalizing on its film history - _ódź is jokingly referred to as the "" Holly_ódź "" of Poland and hosts several film festivals and many other cultural events .","TO VB DT , NNP VBZ VBN VBG IN PRP$ NN NN : NNP VBZ RB VBN IN IN DT `` NNP '' IN NNP CC VBZ JJ NN NNS CC JJ JJ JJ NNS .","TO VB DT , NN VBZ VBN VBG IN PRP$ NN NN : NN VBZ RB VBN TO IN DT NNP NNP NNP IN NNP CC VBZ JJ NN NNS CC JJ JJ JJ NNS .","TO VB DT , NNP VBZ VBN VBG IN PRP$ NN NN HYPH NN VBZ RB VBN IN IN DT `` NNP '' IN NNP CC NNS JJ NN NNS CC JJ JJ JJ NNS .","TO VB DT , NNP VBZ VBN VBG IN PRP$ NN NN : NNP VBZ RB VBN IN IN DT `` NNP '' IN NNP CC VBZ JJ NN NNS CC JJ JJ JJ NNS .","TO VB DT , NNP VBZ VBN VBG IN PRP$ NN NN : NN VBZ RB VBN IN IN DT `` NNP '' IN NNP CC VBZ JJ NN NNS CC JJ JJ JJ NNS .","TO VB DT , NNP VBZ VBN VBG IN PRP$ NN NN : NN VBZ RB VBN TO IN DT `` NNP '' IN NNP CC VBZ JJ NN NNS CC JJ JJ JJ NNS .","TO VB DT , NNP VBZ VBN VBG IN PRP$ NN NN , NNP VBZ RB VBN IN IN DT `` NNP '' IN NNP CC VBZ JJ NN NNS CC JJ JJ JJ NNS ."
2603,"All of us here , again , salute and profoundly grateful for our law enforcement heroes .","DT IN PRP RB , RB , VBP CC RB JJ IN PRP$ NN NN NNS .","DT IN PRP RB , RB , NN CC RB JJ IN PRP$ NN NN NNS .","DT IN PRP RB , RB , NN CC RB JJ IN PRP$ NN NN NNS .","DT IN PRP RB , RB , NN CC RB JJ IN PRP$ NN NN NNS .","DT IN PRP RB , RB , VBP CC RB JJ IN PRP$ NN NN NNS .","DT IN PRP RB , RB , JJ CC RB JJ IN PRP$ NN NN NNS .","DT IN PRP RB , RB , VBP CC RB JJ IN PRP$ NN NN NNS ."
2604,Over _ 150 million blocked in Austrian bank accounts has been de-frozen for humanitarian use .,RB $ CD CD VBN IN JJ NN NNS VBZ VBN VBN IN JJ NN .,IN $ CD CD VBN IN NNP NN NNS VBZ VBN JJ IN JJ NN .,IN $ CD CD VBN IN JJ NN NNS VBZ VBN VBN IN JJ NN .,IN $ CD CD VBN IN JJ NN NNS VBZ VBN <UNK> IN JJ NN .,IN $ CD CD VBN IN JJ NN NNS VBZ VBN VBN IN JJ NN .,IN RB CD CD VBN IN JJ NN NNS VBZ VBN VBN IN JJ NN .,RB $ CD CD VBN IN JJ NN NNS VBZ VBN VBN IN JJ NN .
2605,Some people d- could .,DT NNS UH MD .,DT NNS NNS MD .,DT NNS <UNK> MD .,DT NNS XX MD .,DT NNS <UNK> MD .,DT NNS NNS MD .,DT NNS UH MD .
2606,FrameNet,NNP,NN,NNP,NNP,NNP,NNP,NNP
2607,ANSWER :,NN :,NN :,NN :,VB :,NN :,NNP :,NN :
2608,"In this application , the result of the operation between two polygons has been affected .","IN DT NN , DT NN IN DT NN IN CD NNS VBZ VBN VBN .","IN DT NN , DT NN IN DT NN IN CD NNS VBZ VBN VBN .","IN DT NN , DT NN IN DT NN IN CD NNS VBZ VBN VBN .","IN DT NN , DT NN IN DT NN IN CD NNS VBZ VBN VBN .","IN DT NN , DT NN IN DT NN IN CD NNS VBZ VBN VBN .","IN DT NN , DT NN IN DT NN IN CD NNS VBZ VBN VBN .","IN DT NN , DT NN IN DT NN IN CD NNS VBZ VBN VBN ."
2609,Pull em out .,VB PRP RP .,NNP VBZ RP .,VB PRP RP .,VB PRP RP .,VB PRP RP .,VB PRP RP .,VB PRP RP .
2610,Warnings,NNS,NNS,NNS,NNS,NNS,NNS,NNS
2611,Career,NN,NN,NNP,NN,NN,NN,NN
2612,Hundreds of millions ? thought Chalmers .,NNS IN NNS . VBD NNP .,NNS IN NNS . JJ NNPS .,NNS IN NNS . VBN NNP .,NNS IN NNS . VBD NNP .,NNS IN NNS . VBD NNP .,NNS IN NNS . VBD NNP .,VBD NNP .
2613,"Besides , Steven had some really good stuff : sweets that stained your teeth bright red _ well , technically , not your teeth , just the plaque , but the result was often the same .","RB , NNP VBD DT RB JJ NN : NNS WDT VBD PRP$ NNS JJ JJ : UH , RB , RB PRP$ NNS , RB DT NN , CC DT NN VBD RB DT JJ .","IN , NNP VBD DT RB JJ NN : NNS WDT VBD PRP$ NNS RB JJ NN RB , RB , RB PRP$ NNS , RB DT NN , CC DT NN VBD RB DT JJ .","RB , NNP VBD DT RB JJ NN : NNS WDT VBD PRP$ NNS JJ JJ HYPH RB , RB , RB PRP$ NNS , RB DT NN , CC DT NN VBD RB DT JJ .","RB , NNP VBD DT RB JJ NN : NNS WDT VBD PRP$ NNS JJ JJ : UH , RB , RB PRP$ NNS , RB DT NN , CC DT NN VBD RB DT JJ .","RB , NNP VBD DT RB JJ NN : NNS WDT VBD PRP$ NNS JJ JJ `` RB , RB , RB PRP$ NNS , RB DT NN , CC DT NN VBD RB DT JJ .","IN , NNP VBD DT RB JJ NN : NNS IN VBN PRP$ NNS JJ JJ NN RB , RB , RB PRP$ NNS , RB DT NN , CC DT NN VBD RB DT JJ .","RB , NNP VBD DT RB JJ NN : NNS WDT VBD PRP$ NNS JJ JJ : UH , RB , RB PRP$ NNS , RB DT NN , CC DT NN VBD RB DT JJ ."
2614,"The city was renamed to Litzmannstadt , and Piotrkowska Street was called Adolf - Hitler - Strasse .","DT NN VBD VBN IN NNP , CC NNP NNP VBD VBN NNP HYPH NNP HYPH NNP .","DT NN VBD VBN TO NNP , CC NNP NNP VBD VBN NNP : NNP : NN .","DT NN VBD VBN IN NNP , CC NNP NNP VBD VBN NNP HYPH NNP HYPH NNP .","DT NN VBD VBN IN NNP , CC NNP NNP VBD VBN NNP HYPH NNP HYPH NNP .","DT NN VBD VBN IN NNP , CC NNP NNP VBD VBN NNP HYPH NNP HYPH NNP .","DT NN VBD VBN TO NNP , CC NNP NNP VBD VBN NNP : NNP : NNP .","DT NN VBD VBN IN NNP , CC NNP NNP VBD VBN NNP HYPH NNP HYPH NNP ."
2615,Now let me take a picture .,RB VB PRP VB DT NN .,RB VB PRP VB DT NN .,RB VB PRP VB DT NN .,UH VB PRP VB DT NN .,UH VB PRP VB DT NN .,RB VB PRP VB DT NN .,RB VB PRP VB DT NN .
2616,"Carroll put on his pants , admiring the crease .","NNP VBD IN PRP$ NNS , VBG DT NN .","NNP VBD IN PRP$ NNS , VBG DT NN .","NNP VBD IN PRP$ NNS , VBG DT NN .","NN VBD RP PRP$ NNS , VBG DT NN .","NNP VBD RP PRP$ NNS , VBG DT NN .","NNP VBD IN PRP$ NNS , VBG DT NN .","NNP VBD IN PRP$ NNS , VBG DT NN ."
2617,Justifies and saves .,VBZ CC VBZ .,NNS CC NNS .,VBZ CC VBZ .,NNS CC NNS .,VBZ CC NNS .,NNP CC VBZ .,VBZ CC VBZ .
2618,But one fact is that 2 1/2 million people more are working in the United States than were working 33 months ago .,CC CD NN VBZ IN CD CD CD NNS JJR VBP VBG IN DT NNP NNPS IN VBD VBG CD NNS RB .,CC CD NN VBZ IN CD CD CD NNS JJR VBP VBG IN DT NNP NNPS IN VBD VBG CD NNS RB .,CC CD NN VBZ IN <UNK> <UNK> CD NNS RBR VBP VBG IN DT NNP NNP IN VBD VBG CD NNS RB .,CC CD NN VBZ IN CD CD CD NNS JJR VBP VBG IN DT NNP NNP IN VBD VBG CD NNS RB .,CC CD NN VBZ IN CD <UNK> CD NNS JJR VBP VBG IN DT NNP NNP IN VBD VBG CD NNS RB .,CC CD NN VBZ IN CD CD CD NNS RBR VBP VBG IN DT NNP NNPS IN VBD VBG CD NNS RB .,CC CD NN VBZ IN CD CD CD NNS RBR VBP VBG IN DT NNP NNPS IN VBD VBG CD NNS RB .
2619,Get in,VB RB,NN IN,VB RP,VB IN,VB RP,VB IN,VB RB
2620,"To find the quartiles , first find the median , or second , quartile .","TO VB DT NNS , RB VB DT JJ , CC JJ , NN .","TO VB DT NNS , RB VB DT JJ , CC JJ , NN .","TO VB DT NNS , JJ VB DT NN , CC RB , NN .","TO VB DT NNS , RB VBP DT NN , CC JJ , NN .","TO VB DT NNS , RB VB DT JJ , CC JJ , NN .","TO VB DT NNS , RB VB DT NN , CC JJ , JJ .","TO VB DT NNS , RB VB DT NN , CC JJ , NN ."
2621,"1 The Americas , Europe , and Africa Before 1492","LS DT NNPS , NNP , CC NNP IN CD","CD DT NNPS , NNP , CC NNP IN CD","CD DT NNPS , NNP , CC NNP IN CD","LS DT NNPS , NNP , CC NNP IN CD","LS DT NNPS , NNP , CC NNP IN CD","CD DT NNPS , NNP , CC NNP IN CD","LS DT NNPS , NNP , CC NNP IN CD"
2622,"General Gordon left behind him a uniquely detailed diary of his life and times , written in English .","NNP NNP VBD IN PRP DT RB JJ NN IN PRP$ NN CC NNS , VBN IN NNP .","NNP NNP VBD RP PRP DT RB JJ NN IN PRP$ NN CC NNS , VBN IN NNP .","NNP NNP VBD IN PRP DT RB JJ NN IN PRP$ NN CC NNS , VBN IN NNP .","NNP NNP VBD IN PRP DT RB JJ NN IN PRP$ NN CC NNS , VBN IN NNP .","NNP NNP VBD IN PRP DT RB JJ NN IN PRP$ NN CC NNS , VBN IN NNP .","NNP NNP VBD IN PRP DT RB JJ NN IN PRP$ NN CC NNS , VBN IN NNP .","NNP NNP VBD IN PRP DT RB JJ NN IN PRP$ NN CC NNS , VBN IN NNP ."
2623,Because then you run into things that we already know .,IN RB PRP VBP IN NNS WDT PRP RB VBP .,IN RB PRP VBP IN NNS IN PRP RB VBP .,IN RB PRP VBP IN NNS WDT PRP RB VBP .,IN RB PRP VBP IN NNS WDT PRP RB VBP .,IN RB PRP VBP IN NNS WDT PRP RB VBP .,IN RB PRP VBP IN NNS IN PRP RB VBP .,IN RB PRP VBP IN NNS WDT PRP RB VBP .
2624,Are you _ do they still teach at Bahia on Sunday ?,VBP PRP : VBP PRP RB VB IN NNP IN NNP .,NNP PRP VBP VBP PRP RB VBP IN NNP IN NNP .,VBP PRP : VBP PRP RB VBP IN NNP IN NNP .,VBP PRP : VBP PRP RB VBP IN NNP IN NNP .,VBP PRP UH VBP PRP RB VB IN NNP IN NNP .,VBP PRP VBN VB PRP RB VBP IN NNP IN NNP .,VBP PRP : VBP PRP RB VB IN NNP IN NNP .
2625,Yes .,UH .,UH .,UH .,UH .,UH .,UH .,UH .
2626,And I am proud to be here with your mayor .,CC PRP VBP JJ TO VB RB IN PRP$ NN .,CC PRP VBP JJ TO VB RB IN PRP$ NN .,CC PRP VBP JJ TO VB RB IN PRP$ NN .,CC PRP VBP JJ TO VB RB IN PRP$ NN .,CC PRP VBP JJ TO VB RB IN PRP$ NN .,CC PRP VBP JJ TO VB RB IN PRP$ NN .,CC PRP VBP JJ TO VB RB IN PRP$ NN .
2627,1 cup quinoa,CD NN NN,CD NN NN,CD NN NN,CD NNP NN,CD NN NN,CD NN NN,CD NN NN
2628,"However , in the mid-1980s , Cleveland earned the nickname the "" Comeback City "" as the urban core experienced a dramatic revitalization process that continues today .","RB , IN DT NNS , NNP VBD DT NN DT `` NNP NNP '' IN DT JJ NN VBD DT JJ NN NN WDT VBZ NN .","RB , IN DT NNS , NNP VBD DT NN DT NNP NNP NNP NNP IN DT JJ NN VBD DT JJ NN NN WDT VBZ NN .","RB , IN DT NNS , NNP VBD DT NN DT `` NNP NNP '' IN DT JJ NN VBD DT JJ NN NN WDT VBZ NN .","RB , IN DT NNS , NNP VBD DT NN DT `` NNP NNP '' IN DT JJ NN VBD DT JJ NN NN WDT VBZ NN .","RB , IN DT NNS , NNP VBD DT NN DT `` NNP NNP '' IN DT JJ NN VBD DT JJ NN NN WDT VBZ NN .","RB , IN DT NNS , NNP VBD DT NN DT `` NNP NNP '' IN DT JJ NN VBN DT JJ NN NN WDT VBZ NN .","RB , IN DT NNS , NNP VBD DT NN DT `` NNP NNP '' IN DT JJ NN VBD DT JJ NN NN WDT VBZ NN ."
2629,"A minute or two is great for breaking the ice , but much more can get boring fast .","DT NN CC CD VBZ JJ IN VBG DT NN , CC RB JJR MD VB JJ RB .","DT NN CC CD VBZ JJ IN VBG DT NN , CC RB JJR MD VB JJ NN .","DT NN CC CD VBZ JJ IN VBG DT NN , CC RB JJR MD VB JJ RB .","DT NN CC CD VBZ JJ IN VBG DT NN , CC RB JJR MD VB VBG RB .","DT NN CC CD VBZ JJ IN VBG DT NN , CC RB JJR MD VB JJ RB .","DT NN CC CD VBZ JJ IN VBG DT NN , CC RB JJR MD VB JJ RB .","DT NN CC CD VBZ JJ IN VBG DT NN , CC RB RBR MD VB JJ RB ."
2630,""" He is a person who studies the way people live .",`` PRP VBZ DT NN WP VBZ DT NN NNS VBP .,NN PRP VBZ DT NN WP NNS DT NN NNS VBP .,`` PRP VBZ DT NN WP VBZ DT NN NNS VBP .,`` PRP VBZ DT NN WP VBZ DT NN NNS VBP .,`` PRP VBZ DT NN WP VBZ DT NN NNS VBP .,`` PRP VBZ DT NN WP VBZ DT NN NNS VBP .,`` PRP VBZ DT NN WP VBZ DT NN NNS VBP .
2631,At least 107 killed in Mecca crane collapse,IN JJS CD VBN IN NNP NN NN,IN JJS CD VBN IN NNP NN NN,IN JJS CD VBN IN NNP NN NN,RB JJS CD VBN IN NNP NN NN,IN JJS CD VBN IN NNP NN NN,IN JJS CD VBN IN NNP NN NN,IN JJS CD VBN IN NNP NN NN
2632,Mh hm .,UH UH .,NNP NN .,NNP UH .,UH UH .,UH UH .,NNP NN .,UH NNP .
2633,"He grew up in the village of Clyst St. Mary , near Exeter . [ 3 ]","PRP VBD RP IN DT NN IN NNP NNP NNP , IN NNP . -LRB- CD -RRB-","PRP VBD RP IN DT NN IN NNP NNP NNP , IN NNP . CC CD NN","PRP VBD RP IN DT NN IN NNP NNP NNP , IN NNP . -LRB- CD -RRB-","PRP VBD RP IN DT NN IN NNP NNP NNP , IN NNP . -LRB- CD -RRB-","PRP VBD RP IN DT NN IN NNP NNP NNP , IN NNP . -LRB- CD -RRB-","PRP VBD RP IN DT NN IN NNP NNP NNP , IN NNP . NNP CD .","PRP VBD RP IN DT NN IN NNP NNP NNP , IN NNP . -LRB- CD -RRB-"
2634,It is windy as you can see,PRP VBZ JJ IN PRP MD VB,PRP VBZ JJ IN PRP MD VB,PRP VBZ JJ IN PRP MD VB,PRP VBZ JJ IN PRP MD VB,PRP VBZ JJ IN PRP MD VB,PRP VBZ JJ IN PRP MD VB,PRP VBZ JJ IN PRP MD VB
2635,Two factors might contribute to this situation .,CD NNS MD VB IN DT NN .,CD NNS MD VB TO DT NN .,CD NNS MD VB IN DT NN .,CD NNS MD VB IN DT NN .,CD NNS MD VB IN DT NN .,CD NNS MD VB TO DT NN .,CD NNS MD VB IN DT NN .
2636,"If the Empire could not stop the Enemy before , what hope did they have now ?","IN DT NNP MD RB VB DT NN RB , WDT NN VBD PRP VB RB .","IN DT NNP MD RB VB DT NNP IN , WP VBP VBD PRP VBP RB .","IN DT NN MD RB VB DT NN IN , WP NN VBD PRP VBP RB .","IN DT NNP MD RB VB DT NNP RB , WP NN VBD PRP VB RB .","IN DT NNP MD RB VB DT NNP RB , WDT NN VBD PRP VB RB .","IN DT NNP MD RB VB DT NN RB , WP NN VBD PRP VB RB .","IN DT NNP MD RB VB DT NN RB , WDT NN VBD PRP VB RB ."
2637,"It has even been proposed that , due to functional convergence , mammals might be a better system to study bipedal dinosaur locomotion [ 7 ] , [ 23 ] , but the results reported here show that important aspects of non-avian theropod locomotion can be experimentally recreated in modern birds .","PRP VBZ RB VBN VBN IN , JJ IN JJ NN , NNS MD VB DT JJR NN TO VB JJ NN NN -LRB- CD -RRB- , -LRB- CD -RRB- , CC DT NNS VBD RB VB IN JJ NNS IN JJ NN NN MD VB RB VBN IN JJ NNS .","PRP VBZ RB VBN VBN IN , JJ TO JJ NN , NNS MD VB DT JJR NN TO VB JJ NN NN VBD CD NN , VBZ CD NN , CC DT NNS VBD RB VBP IN JJ NNS IN JJ JJ NN MD VB RB VBN IN JJ NNS .","PRP VBZ RB VBN VBN IN , IN IN JJ NN , NNS MD VB DT JJR NN TO VB JJ NN NN -LRB- CD -RRB- , -LRB- CD -RRB- , CC DT NNS VBN RB VBP IN JJ NNS IN JJ JJ NN MD VB RB VBN IN JJ NNS .","PRP VBZ RB VBN VBN IN , IN IN JJ NN , NNS MD VB DT JJR NN TO VB JJ NN NN -LRB- CD -RRB- , -LRB- CD -RRB- , CC DT NNS VBD RB VBP IN JJ NNS IN <UNK> NN NN MD VB RB VBN IN JJ NNS .","PRP VBZ RB VBN VBN IN , IN IN JJ NN , NNS MD VB DT JJR NN TO VB NN NN NN -LRB- CD -RRB- , -LRB- CD -RRB- , CC DT NNS VBN RB VBP IN JJ NNS IN JJ NN NN MD VB RB VBN IN JJ NNS .","PRP VBZ RB VBN VBN IN , JJ TO JJ NN , NNS MD VB DT JJR NN TO VB JJ NN NN NN CD NN , NNP CD NN , CC DT NNS VBD RB VB DT JJ NNS IN JJ DT NN MD VB RB VBN IN JJ NNS .","PRP VBZ RB VBN VBN IN , IN IN JJ NN , NNS MD VB DT JJR NN TO VB JJ NN NN -LRB- CD -RRB- , -LRB- CD -RRB- , CC DT NNS VBD RB VB IN JJ NNS IN JJ NN NN MD VB RB VBN IN JJ NNS ."
2638,Yeah .,UH .,UH .,UH .,UH .,UH .,UH .,UH .
2639,"He recalled that she was less interested in details , such as staircases .","PRP VBD IN PRP VBD RBR JJ IN NNS , JJ IN NNS .","PRP VBD IN PRP VBD RBR JJ IN NNS , JJ IN NNS .","PRP VBD IN PRP VBD RBR JJ IN NNS , JJ IN NNS .","PRP VBD IN PRP VBD RBR JJ IN NNS , JJ IN NNS .","PRP VBD IN PRP VBD RBR JJ IN NNS , JJ IN NNS .","PRP VBD IN PRP VBD RBR JJ IN NNS , JJ IN NNS .","PRP VBD IN PRP VBD RBR JJ IN NNS , JJ IN NNS ."
2640,Fort Lee,NNP NNP,NNP NNP,NNP NNP,NNP NNP,NNP NNP,NNP NNP,NNP NNP
