,sequence,pos,nltk,corenlp,opennlp,spacy,flair
1921,field get db prep value mixin,NN VBP NNP NN NN NN,NN VB NN NN NN NN,NN VB NN NN NN NN,NN VB NN NN NN NN,NN NN FW JJ NN NNS,NN VB FW NN NN NN
1922,field get db prep value iterable mixin,NN VBP NN NN NN NN NN,NN VB NN NN NN JJ NN,NN VB NN NN NN NN NN,NN VB NN NN NN JJ NN,NN NN FW NN NN JJ NNS,NN VB FW NN NN JJ NN
1923,postgres operator lookup,NNP NN NN,NNS NN NN,VB NN NN,VBZ NN NN,NNS NN NN,VB NN NN
1924,exact,JJ,VB,VB,VB,VB,VB
1925,i exact,PRP VBP,VB NN,NN JJ,NN NN,VB VB,NN VB
1926,greater than,JJR IN,JJR IN,JJR IN,JJR IN,JJR IN,JJR IN
1927,greater than or equal,JJR IN CC JJ,JJR IN CC JJ,JJR IN CC JJ,JJR IN CC JJ,JJR IN CC JJ,JJR IN CC JJ
1928,less than,JJR IN,JJR IN,JJR IN,JJR IN,JJR IN,JJR IN
1929,less than or equal,JJR IN CC JJ,JJR IN CC JJ,JJR IN CC JJ,JJR IN CC JJ,JJR IN CC JJ,JJR IN CC JJ
1930,integer field overflow,NN NN NN,VB NN NN,NN NN NN,VB NN VBN,VB NN JJ,VB NN VB
1931,integer field float rounding,NN NN NN NN,VB NN NN NN,NN NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN VBG
1932,integer field exact,NN NN VBP,VB NN NN,NN NN JJ,VB NN NN,VB NN NN,NN NN JJ
1933,integer greater than,NN JJR IN,VB JJR IN,NN JJR IN,VB JJR IN,NN JJR IN,NN JJR IN
1934,integer greater than or equal,NN JJR IN CC JJ,VB JJR IN CC JJ,NN JJR IN CC JJ,VB JJR IN CC JJ,NN JJR IN CC JJ,NN JJR IN CC JJ
1935,integer less than,NN JJR IN,NN JJR IN,NN JJR IN,NN JJR IN,NN JJR IN,NN JJR IN
1936,integer less than or equal,NN JJR IN CC JJ,NN JJR IN CC JJ,NN JJR IN CC JJ,NN JJR IN CC JJ,NN JJR IN CC JJ,NN JJR IN CC JJ
1937,in,IN,IN,IN,IN,IN,IN
1938,pattern lookup,NN NN,VB NN,NN NN,NN NN,VB NN,NN NN
1939,contains,VBZ,VBZ,VBZ,VBZ,VBZ,VBZ
1940,i contains,PRP VBZ,VB NNS,NN VBZ,NN VBZ,VB VBZ,NN VBZ
1941,starts with,VBZ IN,VBZ IN,VB IN,VBZ IN,NNS IN,VBZ IN
1942,i starts with,PRP VBZ IN,VB NNS IN,NN NN IN,NN NNS IN,VB NNS IN,NN VBZ IN
1943,ends with,VBZ IN,VBZ IN,VB IN,VBZ IN,VBZ IN,VBZ IN
1944,i ends with,PRP VBZ IN,VB NNS IN,NN NN IN,NN NN IN,VB NNS IN,NN VBZ IN
1945,range,NN,VB,NN,NN,VB,VB
1946,is null,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ
1947,regex,NNP,VB,NN,VB,VB,NN
1948,i regex,PRP NNP,VB NN,NN NN,NN NN,VB NN,NN NN
1949,year lookup,NN NN,NN NN,NN NN,VB NN,VB NN,NN NN
1950,year exact,NN RB,NN NN,NN JJ,NN NN,VB VB,NN JJ
1951,year gt,NN NNP,NN NN,NN NN,NN NN,VB NNP,NN FW
1952,year gte,NN NNP,NN NN,NN NN,NN NN,VB NN,NN NN
1953,year lt,NN NNP,NN NN,NN NN,NN NN,VB IN,NN FW
1954,year lte,NN NNP,NN NN,NN NN,NN NN,VB NN,NN NN
1955,uuid text mixin,NNP NN NN,NNP NN NN,NN NN NN,NNP NN NN,NNP NN NNS,NN NN NN
1956,uuidi exact,NNP VBP,VB NN,VB JJ,NNP NN,VB VB,NNP VB
1957,uuid contains,NNP VBZ,NN NNS,NN VBZ,NNP VBZ,NNP VBZ,NN VBZ
1958,uuidi contains,NNP VBZ,VB NNS,VB NNS,NNP VBZ,VB VBZ,NN VBZ
1959,uuid starts with,NNP VBZ IN,NN VBZ IN,NN NN IN,NNP NNS IN,NNP NNS IN,NN VBZ IN
1960,uuidi starts with,NNP VBZ IN,VB NNS IN,VB NN IN,NNP NNS IN,VB NNS IN,NN VBZ IN
1961,uuid ends with,NNP VBZ IN,VB NNS IN,NN NN IN,NNP NNS IN,NNP NN IN,NN VBZ IN
1962,uuidi ends with,NNP VBZ IN,VB NNS IN,VB NN IN,NNP NNS IN,VB NNS IN,NN VBZ IN
1963,model signal,NN NN,NN NN,NN NN,NN JJ,NN NN,NN NN
1964,deferred,JJ,VBN,VB,VBN,VBD,VBN
1965,model base,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1966,model state fields cache descriptor,NN NN NNS NN NN,NN NN NNS NN NN,NN NN NNS NN NN,NN NN NNS NN NN,NN NN NNS NN NN,NN NN NNS NN NN
1967,model state,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1968,on conflict,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN
1969,q,FW,VB,NN,FW,FW,FW
1970,deferred attribute,JJ NN,VBN NN,VB NN,VBN NN,VBN NN,VBN NN
1971,class or instance method,NN CC NN NN,NN CC NN NN,NN CC NN NN,NN CC NN NN,NN CC NN NN,NN CC NN NN
1972,register lookup mixin,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NNS,VB NN NN
1973,filtered relation,JJ NN,JJ NN,VB NN,VBN NN,VBN NN,VBN NN
1974,base manager,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
1975,manager,NN,NN,NN,NN,NN,NN
1976,manager descriptor,NN NN,NN NN,NN NN,NN NN,VB NN,NN NN
1977,empty manager,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1978,base constraint,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
1979,check constraint,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1980,deferrable,JJ,JJ,VB,JJ,JJ,JJ
1981,unique constraint,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1982,protected error,JJ NN,VBN NN,JJ NN,VBN NN,VBN NN,VBN NN
1983,restricted error,JJ NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN
1984,collector,NN,NN,NN,NN,NN,NN
1985,alters data,VBZ NN,NNS NNS,VB NNS,NNS NNS,NNS NNS,VBZ NNS
1986,aggregate,NN,VB,JJ,VB,VB,VB
1987,avg,NN,VB,JJ,VB,VB,NN
1988,count,NN,VB,VB,VB,VB,VB
1989,std dev,NN NN,JJ NN,JJ NN,JJ NN,JJ NN,NNP NN
1990,variance,NN,NN,NN,NN,NN,NN
1991,base iterable,JJ JJ,NN JJ,NN NN,NN JJ,NN JJ,NN JJ
1992,model iterable,NN JJ,NN JJ,NN NN,NN JJ,NN JJ,NN JJ
1993,raw model iterable,JJ NN JJ,VB NN JJ,JJ NN NN,VB NN NN,JJ NN JJ,JJ NN JJ
1994,values iterable,NNS JJ,NNS JJ,NNS VBN,NNS NN,VBZ JJ,NNS JJ
1995,values list iterable,NNS NN JJ,NNS NN JJ,NNS NN NN,NNS NN JJ,VBZ NN JJ,NNS IN JJ
1996,named values list iterable,VBN NNS NN JJ,VBN NNS RBR JJ,VBN NNS NN NN,VBN NNS NN JJ,VBN NNS NN JJ,VBN NNS NN JJ
1997,flat values list iterable,JJ NNS NN JJ,JJ NNS NN JJ,VB NNS NN NN,VB NNS NN JJ,RB NNS NN JJ,JJ NNS IN JJ
1998,query set,NN NN,VB VB,VB NN,VB VB,VB VB,VB NN
1999,instance check meta,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2000,empty query set,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2001,raw query set,JJ NN NN,VB NN NN,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN
2002,prefetch,NN,VB,VB,VB,VB,NN
2003,related populator,JJ NN,VBN NN,VB NN,VBN NN,VBN NN,JJ NN
2004,repr enum,NNP NN,VB NN,VB NN,VB NN,VB NN,JJ NN
2005,int enum,NN NN,VB NN,NN NN,VB NN,NN NN,NN NN
2006,str enum,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
2007,choices type,NNS NN,NNS NN,VB NN,NNS NN,NNS NN,NNS NN
2008,choices,NNS,NNS,VB,NNS,NNS,NNS
2009,integer choices,NN NNS,VB NNS,NN NN,VB NNS,NN NNS,NN NNS
2010,text choices,NN NNS,NN NNS,NN NN,NN NNS,NN NNS,NN NNS
2011,position ref,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2012,sql compiler,NNP NN,NNP NN,NNP NN,NNP NN,NN NN,NNP NN
2013,sql insert compiler,NNP VBP NNP,NNP VB NN,NNP VB NN,NNP VB NN,NNP NN NN,NNP VB NN
2014,sql delete compiler,NNP VBP NN,NNP NN NN,NNP NN NN,NNP VB NN,NNP VB NN,NNP VB NN
2015,sql update compiler,NNP VBP NN,NNP NN NN,NNP NN NN,NNP NN NN,NNP NN NN,NNP NN NN
2016,sql aggregate compiler,NNP VBP NNP,NNP NN NN,NNP JJ NN,NNP NN NN,NNP NN NN,NNP JJ NN
2017,delete query,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2018,update query,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2019,insert query,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2020,aggregate query,VB NN,VB NN,JJ NN,VB NN,VB NN,JJ NN
2021,multi join,JJ VB,JJ NN,JJ NN,JJ NN,RB VB,JJ NN
2022,join,VB,VB,NN,VB,VB,VB
2023,base table,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
2024,where node,WRB NN,WRB NN,WRB NN,WRB NN,WRB NN,WRB NN
2025,nothing node,NN NN,NN NN,VB NN,JJ NN,VBG NN,DT NN
2026,extra where,JJ WRB,VB WRB,JJ WRB,VB WRB,VB WRB,JJ WRB
2027,subquery constraint,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
2028,raw query,JJ NNP,VB NN,JJ NN,VB NN,JJ NN,JJ NN
2029,query,NN,VB,NN,VB,VB,VB
2030,join promoter,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2031,a cos,DT NN,DT NN,NN NN,VB NNS,FW NN,DT NNS
2032,asin,NNP,VB,VB,IN,NN,NN
2033,a tan,DT NNP,DT NN,NN NN,VB NN,FW NN,DT NN
2034,a tan 2,DT NNP CD,DT NN CD,NN NN CD,VB NN CD,FW NN CD,DT NN CD
2035,cot,NN,VB,VB,VB,NN,VB
2036,degrees,NNS,NNS,VB,VB,VB,NNS
2037,ln,NNP,VB,VB,NN,FW,NN
2038,pi,NNP,VB,VB,VB,IN,FW
2039,radians,NNPS,NNS,VB,VB,VB,NNS
2040,random,NN,JJ,JJ,JJ,NN,NN
2041,timezone mixin,NN NN,VB NN,NN NN,NN NN,NN NNS,NN NN
2042,extract,VB,VB,VB,VB,VB,VB
2043,extract year,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2044,extract iso year,VB NNP NN,VB JJ NN,VB NNP NN,VB NNS NN,VB NNP NN,VB NNP NN
2045,extract month,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2046,extract day,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2047,extract week,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2048,extract week day,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
2049,extract iso week day,VB NNP NN NN,VB JJ NN NN,VB NNP NN NN,VB NNS NN NN,VB NNP NN NN,VB NNP NN NN
2050,extract quarter,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2051,extract hour,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2052,extract minute,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2053,extract second,VB NN,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ
2054,now,NN,RB,RB,NN,RB,RB
2055,trunc base,VB NN,VB NN,VB NN,VB NN,NN NN,VB NN
2056,trunc,VB,VB,VB,JJ,NN,NN
2057,trunc year,VB NN,VB NN,VB NN,JJ NN,NN NN,NN NN
2058,trunc quarter,VB NN,VB NN,VB NN,JJ NN,NN NN,NN NN
2059,trunc month,VB NN,VB NN,VB NN,JJ NN,NN NN,NN NN
2060,trunc week,VB NN,VB NN,VB NN,JJ NN,NN NN,NN NN
2061,trunc day,VB NN,VB NN,VB NN,JJ NN,NN NN,VB NN
2062,trunc date,VB NN,VB NN,VB NN,JJ NN,NN NN,NN NN
2063,trunc time,VB NN,VB NN,VB NN,JJ NN,NN NN,VB NN
2064,trunc hour,VB NN,VB NN,VB NN,JJ NN,NN NN,VB NN
2065,trunc minute,VB NN,VB NN,VB NN,JJ NN,NN NN,NN NN
2066,trunc second,VB NN,VB JJ,VB NN,VB JJ,NN JJ,NN JJ
2067,cume dist,NN NN,VB NN,VB NN,VB NN,VB NN,NN NN
2068,dense rank,JJ NN,VB NN,VB NN,VB NN,VB NN,JJ NN
2069,first value,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2070,lag lead function,JJ NN NN,VB NN NN,VB NN NN,JJ VB NN,NN NN NN,VB NN NN
2071,lag,NN,NN,VB,NN,NN,VB
2072,last value,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2073,lead,NN,VB,VB,VB,VB,VB
2074,nth value,NN NN,JJ NN,VB NN,NN NN,VB NN,FW NN
2075,n tile,FW NN,RB NN,NN NN,NN NN,NN NN,FW NN
2076,percent rank,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2077,rank,NN,VB,VB,VB,VB,VB
2078,row number,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2079,fix decimal input mixin,VB JJ NN NN,VB JJ NN NN,VB NN NN NN,VB JJ NN NN,VB JJ NN NNS,VB JJ NN NN
2080,fix duration input mixin,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NNS,VB NN NN NN
2081,numeric output field mixin,JJ NN NN NN,JJ NN NN NN,VB NN NN NN,JJ NN NN NN,JJ NN NN NNS,JJ NN NN NN
2082,coalesce,VB,VB,VB,VB,NN,VB
2083,collate,VB,VB,VB,VB,VB,VB
2084,greatest,JJS,JJS,JJS,JJS,DT,JJS
2085,json object,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN
2086,arg joiner,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
2087,least,JJS,JJS,JJS,VB,JJS,JJS
2088,null if,JJ IN,JJ IN,NN IN,JJ IN,NN IN,NN IN
2089,my sql sha 2 mixin,PRP$ NNP NNP CD NN,PRP$ NN NN CD NN,VB NNP NN CD NN,VB NNP NN CD NN,DT NN NN CD NNS,JJ NNP NN CD NN
2090,oracle hash mixin,NNP NN NN,VB NN NN,VB NN NN,JJ NN NN,JJ NN NNS,NNP NN NN
2091,postgre sql sha mixin,NNP NNP NNP NN,VB NNP NN NN,VB NNP NN NN,VB NNP NN NN,NN NN NN NNS,NNP NNP NNP NN
2092,chr,NNP,VB,VB,VB,NN,NNP
2093,concat pair,NN NN,VB NN,VB NN,VB NN,VB NN,NN NN
2094,concat,NN,VB,VB,VB,VB,NN
2095,left,NN,VBN,JJ,VB,VB,VB
2096,length,NN,NN,NN,NN,NN,NN
2097,lower,JJR,JJR,VB,NN,VBZ,JJ
2098,l pad,FW NN,VB NN,NN NN,NN NN,NN NN,NN NN
2099,l trim,FW NN,VB NN,NN NN,NN NN,NN NN,NN NN
2100,md5,NNP,VB,VB,VB,VBN,FW
2101,ord,NN,NN,NN,NN,NN,NN
2102,replace,VB,VB,VB,VB,VB,VB
2103,reverse,NN,VB,JJ,VB,VB,VB
2104,right,NN,VB,VB,VB,VB,VB
2105,r pad,FW NN,VB NN,NN NN,NN NN,FW NN,FW NN
2106,r trim,FW NN,VB NN,NN NN,NN NN,FW VB,NN NN
2107,sha1,NNP,VB,VB,VB,FW,NN
2108,sha 224,NNP CD,NN CD,VB NN,VB CD,NN CC,NNP CD
2109,sha256,NNP,VB,VB,VB,VB,NN
2110,sha384,NNP,VB,VB,VB,NN,NN
2111,sha512,NNP,VB,VB,VB,NNS,NN
2112,str index,NN NN,VB NN,NN NN,NN NN,VB NN,NN NN
2113,sub str,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2114,trim,VB,VB,VB,VB,VB,VB
2115,upper,JJ,VB,VB,NN,VB,NN
2116,multi col source,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,RB NN NN,JJ NN NN
2117,related in,JJ IN,VBN IN,VB IN,VBN IN,VBN IN,VBN IN
2118,related lookup mixin,JJ NN NN,VBN NN NN,VB NN NN,VBN NN NN,VBN NN NNS,JJ NN NN
2119,related exact,JJ JJ,VBN NN,VB JJ,VBN JJ,VBN JJ,JJ NN
2120,related less than,JJ JJR IN,VBN JJR IN,VB JJR IN,VBN JJR IN,VBN JJR IN,VBN JJR IN
2121,related greater than,JJ JJR IN,VBN JJR IN,VB JJR IN,VBN JJR IN,VBN JJR IN,VBN JJR IN
2122,related greater than or equal,JJ JJR IN CC JJ,VBN JJR IN CC JJ,VB JJR IN CC JJ,VBN JJR IN CC JJ,VBN JJR IN CC JJ,VBN JJR IN CC JJ
2123,related less than or equal,JJ JJR IN CC JJ,VBN JJR IN CC JJ,VB JJR IN CC JJ,VBN JJR IN CC JJ,VBN JJR IN CC JJ,VBN JJR IN CC JJ
2124,related is null,JJ VBZ JJ,VBN VBZ JJ,VB VBZ JJ,VBN VBZ JJ,VBN VBZ JJ,VBN VBZ JJ
2125,json field,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN
2126,data contains,NNS VBZ,NNS NNS,NNS NNS,NNS VBZ,NNS VBZ,NNS VBZ
2127,contained by,VBN IN,VBN IN,VB IN,VBN IN,VBN IN,VBN IN
2128,has key lookup,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN
2129,has key,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN
2130,has keys,VBZ NNS,VBZ NNS,VBZ NNS,VBZ NNS,VBZ NNS,VBZ NNS
2131,has any keys,VBZ DT NNS,VBZ DT NNS,VBZ DT NNS,VBZ DT NNS,VBZ DT NNS,VBZ DT NNS
2132,has key or array index,VBZ NN CC NN NN,VBZ NN CC NN NN,VBZ NN CC NN NN,VBZ NN CC NN NN,VBZ NN CC NN NN,VBZ NN CC NN NN
2133,case insensitive mixin,NN JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,NN JJ NNS,VB JJ NN
2134,json exact,NNP VBP,NNP VB,NNP VB,NNP NN,NNP VB,NNP VB
2135,jsoni contains,NNP VBZ,NNP VBZ,VB NNS,NNP VBZ,NNP VBZ,NNP VBZ
2136,key transform,NN NN,NN NN,NN NN,NN NN,NN NN,NN VB
2137,key text transform,NN NN NN,VB NN NN,NN NN NN,JJ NN NN,JJ NN NN,JJ NN VB
2138,key transform text lookup mixin,NN NN NN NN NN,VB NN NN NN NN,NN NN NN NN NN,JJ NN NN NN NN,NN NN NN NN NNS,NN VB NN NN NN
2139,key transform is null,NN NN VBZ JJ,NN NN VBZ JJ,NN NN VBZ JJ,NN NN VBZ JJ,NN NN VBZ JJ,NN NN VBZ JJ
2140,key transform in,NN NN IN,VB NN IN,NN NN IN,NN NN IN,NN NN IN,NN VB IN
2141,key transform exact,NN NN VBP,NN NN NN,NN NN JJ,NN NN JJ,NN NN NN,NN NN JJ
2142,key transform i exact,NN NN PRP VBZ,NN NN NN NN,NN NN NN JJ,NN NN NN NN,NN NN NN NN,NN NN NN NN
2143,key transform i contains,NN NN PRP VBZ,NN NN NN NNS,NN NN NN NNS,NN NN NN VBZ,NN NN NN VBZ,JJ NN NN VBZ
2144,key transform starts with,NN NN VBZ IN,NN NN VBZ IN,NN NN NN IN,NN NN NNS IN,NN NN NNS IN,NN NN VBZ IN
2145,key transform i starts with,NN NN PRP VBZ IN,NN NN NN VBZ IN,NN NN NN NN IN,NN NN NN NNS IN,NN NN NN NNS IN,NN NN NN VBZ IN
2146,key transform ends with,NN NN VBZ IN,VB NN VBZ IN,NN NN NN IN,NN NN NNS IN,NN NN NNS IN,NN NN NNS IN
2147,key transform i ends with,NN NN PRP VBZ IN,NN NN NN VBZ IN,NN NN NN NN IN,NN NN NN NN IN,NN NN NN NNS IN,NN NN NN VBZ IN
2148,key transform regex,NN NN NNP,NN NN NN,NN NN NN,NN NN NN,NN NN NN,JJ VB NN
2149,key transform i regex,NN NN PRP NNP,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
2150,key transform numeric lookup mixin,NN NN JJ NN NN,NN NN JJ NN NN,NN NN NN NN NN,NN NN JJ NN NN,NN NN JJ NN NNS,NN VB JJ NN NN
2151,key transform lt,NN NN NNP,NN NN NN,NN NN NN,NN NN NN,NN NN FW,NN VB FW
2152,key transform lte,NN NN NNP,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2153,key transform gt,NN NN NNP,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN VB FW
2154,key transform gte,NN NN NNP,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2155,key transform factory,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2156,order wrt,NN NNP,NN NN,NN NN,NN NN,NN NN,NN NN
2157,field file,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2158,file descriptor,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2159,file field,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2160,image file descriptor,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2161,image field file,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN,VB NN NN
2162,image field,NN NN,NN NN,NN NN,VB NN,NN NN,VB NN
2163,field cache mixin,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NNS,NN NN NN
2164,check field default mixin,VB NN JJ NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NNS,VB NN NN NN
2165,related field,JJ NN,JJ NN,VB NN,VBN NN,JJ NN,JJ NN
2166,foreign object,JJ NN,JJ NN,VB NN,VB NN,JJ NN,JJ NN
2167,foreign key,JJ NN,JJ NN,VB NN,IN NN,JJ NN,JJ NN
2168,one to one field,CD IN CD NN,CD TO CD NN,CD TO CD NN,CD TO CD NN,CD TO CD NN,CD TO CD NN
2169,many to many field,JJ IN JJ NN,JJ TO JJ NN,JJ TO JJ NN,JJ TO JJ NN,JJ TO JJ NN,JJ TO JJ NN
2170,generated field,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN
2171,foreign object rel,JJ NN NNP,JJ NN NN,VB NN NN,VB NN NN,VB NN NNP,JJ NN NN
2172,many to one rel,JJ IN CD NNP,JJ TO CD NN,JJ TO CD NN,JJ TO CD NN,JJ TO CD NNP,JJ TO CD NN
2173,one to one rel,CD IN CD NNP,CD TO CD NN,CD TO CD NN,CD TO CD NN,CD TO CD NNP,CD TO CD NN
2174,many to many rel,JJ IN JJ NNP,JJ TO JJ NN,JJ TO JJ NN,JJ TO JJ NN,JJ TO JJ NNP,JJ TO JJ NN
2175,not provided,RB VBN,RB VBN,RB VBN,RB VBN,RB VBN,RB VBN
2176,field,NN,NN,NN,NN,NN,NN
2177,boolean field,NN NN,VB NN,JJ NN,JJ NN,JJ NN,JJ NN
2178,char field,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
2179,comma separated integer field,NN VBN NN NN,VB VBN NN NN,VB NN NN NN,VB JJ NN NN,VB VBN NN NN,NN VBN NN NN
2180,date time check mixin,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NNS,NN NN NN NN
2181,date field,NN NN,NN NN,NN NN,VB NN,VB NN,NN NN
2182,date time field,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2183,decimal field,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
2184,duration field,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2185,email field,NN NN,VB NN,VB NN,NN NN,VB NN,VB NN
2186,file path field,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2187,float field,NN NN,VB NN,NN NN,VB NN,VB NN,VB NN
2188,integer field,NN NN,VB NN,NN NN,VB NN,VB NN,VB NN
2189,big integer field,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2190,small integer field,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2191,ip address field,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN,JJ NN NN
2192,generic ip address field,JJ NNP NN NN,VB NN NN NN,JJ NN NN NN,VB VB NN NN,JJ NN NN NN,JJ NN NN NN
2193,null boolean field,JJ NN NN,JJ JJ NN,JJ JJ NN,JJ JJ NN,JJ JJ NN,JJ JJ NN
2194,positive integer rel db type mixin,JJ NN NNP NNP NN NN,JJ NN NN NN NN NN,VB NN NN NN NN NN,VB NN NN NN NN NN,VB NN NN FW NN NNS,JJ NN NN NN NN NN
2195,positive big integer field,JJ JJ NN NN,JJ JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,JJ JJ NN NN
2196,positive integer field,JJ NN NN,JJ NN NN,VB NN NN,VB NN NN,VB NN NN,JJ NN NN
2197,positive small integer field,JJ JJ NN NN,JJ JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,JJ JJ NN NN
2198,slug field,NN NN,VB NN,VB NN,VB NN,NN NN,VB NN
2199,text field,NN NN,NN NN,NN NN,NN NN,NN NN,VB NN
2200,time field,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2201,url field,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN
2202,binary field,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2203,uuid field,NNP NN,NNP NN,NN NN,NNP NN,NNP NN,NN NN
2204,auto field mixin,JJ NN NN,NN NN NN,JJ NN NN,JJ NN NN,JJ NN NNS,JJ NN NN
2205,auto field meta,JJ NN NN,NN NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2206,auto field,JJ NN,NN NN,JJ NN,JJ NN,JJ NN,JJ NN
2207,big auto field,JJ JJ NN,JJ NN NN,JJ NN NN,JJ JJ NN,JJ JJ NN,JJ NN NN
2208,small auto field,JJ JJ NN,JJ NN NN,JJ NN NN,JJ JJ NN,JJ NN NN,JJ NN NN
2209,foreign key deferred attribute,JJ NN JJ NN,JJ NN JJ NN,VB NN NN NN,IN NN VBN NN,JJ NN JJ NN,JJ NN JJ NN
2210,forward many to one descriptor,JJ JJ TO CD NN,RB JJ TO CD NN,VB JJ TO CD NN,VB JJ TO CD NN,VB JJ TO CD NN,VB JJ TO CD NN
2211,forward one to one descriptor,JJ CD TO CD NN,VB CD TO CD NN,VB CD TO CD NN,VB CD TO CD NN,VB CD TO CD NN,VB CD TO CD NN
2212,reverse one to one descriptor,JJ CD TO CD NN,VB CD TO CD NN,JJ CD TO CD NN,VB CD TO CD NN,VB CD TO CD NN,VB CD TO CD NN
2213,reverse many to one descriptor,JJ JJ IN CD NN,VB JJ TO CD NN,JJ JJ TO CD NN,VB JJ TO CD NN,VB JJ TO CD NN,VB JJ TO CD NN
2214,related manager,JJ NN,JJ NN,VB NN,VBN NN,VBN NN,VBN NN
2215,many to many descriptor,JJ IN JJ NN,JJ TO JJ NN,JJ TO JJ NN,JJ TO JJ NN,JJ TO JJ NN,JJ TO JJ NN
